Health and Safety Legislation - Half Day,Anyone who has some control over premises must take reasonable steps to reduce the risk from fire and make sure people can safely escape if there is a fire.  Speakers from the Fire Service will explain the requirements of Fire safety legislation and give practical information on how to help comply with this,2010-06-29 00:00:00 +0100,"The Methodist Church, Coventry Central Hall",Business Link,http://www.business-sustain.com/seminars-workshops/index.aspx,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-06-01 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-06-30 00:00:00 +0100,"New North Road, Exeter",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business over Breakfast,"Come and network over breakfast with companies from around North Wales. 
During networking you will have the opportunity to speak to Academics and staff from the university to discuss the commercial expertise available at Glynd&#373;r University to help develop your business. To reserve your free place please contact Sam Clutton on 01978 293 183",2010-06-10 00:00:00 +0100,"Deeside Enterprise Centre, Rowleys Drive, Shotton, Queensferry",Business Link,http://www.glyndwr.ac.uk/en/AboutGlyndwrUniversity/Whatson/Eventsforthebusinesscommunity/,Business Link
Prince 2 - Foundation and Practioner ,"This internationally respected course is based on the new Managing Successful Projects with PRINCE2 2009.  The updated course will help those running projects of any size in any environment to effectively deliver what is required appropriately managing the costs, timescales, quality, scope, risks and benefits. To book a place on this event please contact Rebecca Arrowsmith on 02920 416414",2010-06-28 00:00:00 +0100,"UWIC Colchester, Colchester Avenue, Cardiff",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001561667,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-01 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-02 00:00:00 +0100,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-02 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-06 00:00:00 +0100,"London Road, Crawley",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-12 00:00:00 +0100,"Regent Hill, Brighton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-12 00:00:00 +0100,"Watlington Street, Reading",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-15 00:00:00 +0100,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-15 00:00:00 +0100,"Thames Street, Staines",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-16 00:00:00 +0100,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-20 00:00:00 +0100,"High Street, Chatham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-12 00:00:00 +0100,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-16 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-19 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-24 00:00:00 +0100,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-26 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-08-03 00:00:00 +0100,"Northern Road, Cosham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-08-11 00:00:00 +0100,"Temple Back, Bristol",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-10 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-22 00:00:00 +0100,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-23 00:00:00 +0100,"Romsey Road, Southampton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-27 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-30 00:00:00 +0100,"Oxford Road, Bournemouth",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-02 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-07 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-09 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-16 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-30 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-10-07 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-10-21 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Introbiz Networking Event,"At introbiz, they pride themselves on finding out before the meeting the types of businesses you d like to connect with, so that it will be more beneficial to you, making it more time and cost effective, as time is money. introbiz introduces new contacts that will develop into new businesses. To book a place on thuis event please email info@introbiz.co.uk",2010-10-21 00:00:00 +0100,"Novotel Hotel, Cardiff",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001550688,Business Link
Salisbury Breakfast Club - 5 Oct,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" summary=""Event information"">
<tr>
<th width=""30%""><span>Date: </span></th>
<td width=""70%""><span>5 Oct 2010</span></td>
</tr>
<tr>
<th><span>Location: </span></th>
<td><span>Grasmere House Hotel, Salisbury SP2 8JN</span></td>
</tr>
<tr>
<th><span>Organiser: </span></th>
<td><span>Business Link with Bonallack & Bishop</span></td>
</tr>
<tr>
<th><span>Event Type: </span></th>
<td><span>Breakfasts / Lunches / Dinners, Information Sessions, Networking</span></td>
</tr>
<tr>
<th><span>Cost: </span></th>
<td><span>&pound;10 per person</span></td>
</tr>
<tr>
<th><span>Business Sector: </span></th>
<td><span>All industries</span></td>
</tr>
</table>
<ul class=""links"">
<li><a href=""http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&amp;r.lc=en&amp;type=EVENTS&amp;itemId=5001537932"" title=""Detailed event description - Opens in a new window"" target=""newWindow"">Detailed event description</a></li>
</ul>

			
					<p class=""hr""><img src=""/syntegra/images/hr_343px_global.gif"" alt="""" /></p>
				",2010-10-05 00:00:00 +0100,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537932,Business Link
Three Towns Breakfast Club - 21 Oct,"<p>Three Towns Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" summary=""Event information"">
<tr>
<th width=""30%""><span>Date: </span></th>
<td width=""70%""><span>21 Oct 2010</span></td>
</tr>
<tr>
<th><span>Location: </span></th>
<td><span>The Corsley Centre, Corsley nr Warminster BA12 7QF</span></td>
</tr>
<tr>
<th><span>Organiser: </span></th>
<td><span>Business Link with Bonallack & Bishop</span></td>
</tr>
<tr>
<th><span>Event Type: </span></th>
<td><span>Breakfasts / Lunches / Dinners, Information Sessions, Networking</span></td>
</tr>
<tr>
<th><span>Cost: </span></th>
<td><span>&pound;10 per person</span></td>
</tr>
<tr>
<th><span>Business Sector: </span></th>
<td><span>All industries</span></td>
</tr>
</table>
<ul class=""links"">
<li><a href=""http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&amp;r.lc=en&amp;type=EVENTS&amp;itemId=5001537969"" title=""Detailed event description - Opens in a new window"" target=""newWindow"">Detailed event description</a></li>
</ul>

			
					<p class=""hr""><img src=""/syntegra/images/hr_343px_global.gif"" alt="""" /></p>
				",2010-10-21 00:00:00 +0100,"The Corsley Centre, Corsley nr Warminster BA12 7QF",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537969,Business Link
Meet the MoD,During this event delegates will be provided with the opportunity to identify a point of contact within the MoD and develop new sales channels.,2010-10-04 00:00:00 +0100,London Chamber of Commerce,Business Link,http://www.ticketsource.co.uk/search/searchPerformanceDetails.asp?performance_id=11814&sid=,Business Link
Free Legal Consultation for Your Business,Higgs & Sons solicitors are pleased to be working with Business Link West Midlands to provide legal advice for your business on the first Tuesday of each month between 2pm and 5pm at Higgs & Sons premises in the Black Country,2010-10-05 00:00:00 +0100,"Higgs & Sons, 3 Waterfront Business Park, Brierley Hill, West Midlands, DY5 1LX",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=131&r.lc=en&type=EVENTS&itemId=5001561269,Business Link
Managing the Salesforce,Delegates will be trained on methods designed to improve the performance of their sales team by successfully managing both results and activity.,2010-10-06 00:00:00 +0100,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=71&CourseTypeID=5,Business Link
Networking Training - How to Work a Room,"This workshop aims to remove some of the barriers to networking by providing focus for attending events, examining the risks involved, as well as how to reduce and manage them and improving confidence with some practical tools and tips.",2010-10-06 00:00:00 +0100,"London Chamber of Commerce, City of London",Business Link,http://www.ticketsource.co.uk/search/searchPerformanceDetails.asp?performance_id=11708&sid=,Business Link
The Entrepreneurs Forum - Financial planning and managing money,"Good financial planning and control helps to increase the chances of business
success in the early stages",2010-10-07 00:00:00 +0100,"The Summit Centre, Pavilion Road, Kirkby in Ashfield, Nottingham NG17 7LL",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=140&r.lc=en&type=EVENTS&itemId=5001515166,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-11-26 00:00:00 +0000,"187 George Street, GLASGOW, G1 1YU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced Finance for Managers,"This residential advanced finance workshop is run by CEiS and partners. It&#8217;s aimed at managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences.",2010-11-04 00:00:00 +0000,"Stirling Highland Hotel, Spittal Street, STIRLING, 1DU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced Finance for Managers,"This residential advanced finance workshop is run by CEiS and partners. It&#8217;s aimed at managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences.",2010-11-05 00:00:00 +0000,"Stirling Highland Hotel, Spittal Street, STIRLING, 1DU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Salisbury Breakfast Club - 2 Nov,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" summary=""Event information"">
<tr>
<th width=""30%""><span>Date: </span></th>
<td width=""70%""><span>2 Nov 2010</span></td>
</tr>
<tr>
<th><span>Location: </span></th>
<td><span>Grasmere House Hotel, Salisbury SP2 8JN</span></td>
</tr>
<tr>
<th><span>Organiser: </span></th>
<td><span>Business Link with Bonallack & Bishop</span></td>
</tr>
<tr>
<th><span>Event Type: </span></th>
<td><span>Breakfasts / Lunches / Dinners, Information Sessions, Networking</span></td>
</tr>
<tr>
<th><span>Cost: </span></th>
<td><span>&pound;10 per person</span></td>
</tr>
<tr>
<th><span>Business Sector: </span></th>
<td><span>All industries</span></td>
</tr>
</table>
<ul class=""links"">
<li><a href=""http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&amp;r.lc=en&amp;type=EVENTS&amp;itemId=5001538008"" title=""Detailed event description - Opens in a new window"" target=""newWindow"">Detailed event description</a></li>
</ul>

			
					<p class=""hr""><img src=""/syntegra/images/hr_343px_global.gif"" alt="""" /></p>
				",2010-11-02 00:00:00 +0000,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001538008,Business Link
